TIMECREATED;HISPOTYPE
2022-02-23 08:25:08.697;1
2022-02-23 08:25:08.759;0
2022-02-23 08:26:15.093;6
2022-02-23 08:26:15.125;0
2022-02-23 08:29:11.905;1
2022-02-23 08:23:11.984;24
2022-02-23 08:23:12.218;43
2022-02-23 08:23:51.565;2
2022-02-23 08:23:51.628;27
2022-02-23 08:29:12.577;0
2022-02-23 08:29:28.453;2
2022-02-23 08:29:28.813;27
2022-02-23 08:30:30.896;1
2022-02-23 08:32:16.045;0
2022-02-23 08:30:31.255;0
2022-02-23 08:31:15.868;1
2022-02-23 08:31:15.946;0
2022-02-23 08:32:15.982;1
2022-02-23 08:30:54.226;35
2022-02-23 08:30:54.226;35
2022-02-23 08:30:54.241;35
2022-02-23 08:30:54.241;35
2022-02-23 08:30:54.116;2
2022-02-23 08:30:54.257;35
2022-02-23 08:30:54.257;34
2022-02-23 08:30:54.273;27
2022-02-23 08:33:17.581;1
2022-02-23 08:33:17.643;0
2022-02-23 08:34:57.636;1
2022-02-23 08:34:57.714;0
2022-02-23 08:35:35.248;1
2022-02-23 08:35:35.326;0
2022-02-23 08:30:54.257;35
2022-02-23 07:00:12.938;2
2022-02-23 07:00:13.016;27
2022-02-23 07:00:50.128;2
2022-02-23 06:59:15.777;27
2022-02-23 07:00:50.222;27
2022-02-23 06:59:46.279;43
2022-02-23 07:01:16.318;1
2022-02-23 07:01:16.396;0
2022-02-23 07:03:04.875;1
2022-02-23 07:03:04.954;0
2022-02-23 07:03:33.331;1
2022-02-23 07:03:33.393;0
2022-02-23 07:04:00.411;1
2022-02-23 07:04:00.458;0
2022-02-23 07:06:03.859;0
2022-02-23 07:06:05.890;2
2022-02-23 07:06:05.953;27
2022-02-23 07:06:20.188;2
2022-02-23 07:06:20.282;27
2022-02-23 07:08:29.058;2
2022-02-23 07:08:29.136;27
2022-02-23 07:08:40.309;2
2022-02-23 07:08:40.372;27
2022-02-23 07:08:58.217;2
2022-02-23 07:08:58.279;27
2022-02-23 07:09:11.874;2
2022-02-23 07:04:24.554;1
2022-02-23 07:04:24.616;0
2022-02-23 07:04:45.649;1
2022-02-23 07:04:45.696;0
2022-02-23 07:05:07.839;1
2022-02-23 07:05:07.901;0
2022-02-23 07:05:40.154;1
2022-02-23 06:36:42.410;2
2022-02-23 06:40:00.566;27
2022-02-23 06:36:42.566;27
2022-02-23 06:36:43.644;24
2022-02-23 06:40:00.504;2
2022-02-23 07:04:05.177;2
2022-02-23 07:09:11.984;27
2022-02-23 07:10:55.133;2
2022-02-23 07:10:55.226;27
2022-02-23 07:11:18.244;2
2022-02-23 07:11:18.338;27
2022-02-23 07:11:45.528;2
2022-02-23 07:04:05.255;27
2022-02-23 07:04:40.571;2
2022-02-23 07:04:40.633;27
2022-02-23 07:04:56.385;2
2022-02-23 06:45:01.576;34
2022-02-23 06:45:01.576;27
2022-02-23 06:41:03.072;2
2022-02-23 06:45:44.814;24
2022-02-23 06:47:18.635;2
2022-02-23 06:47:18.714;27
2022-02-23 06:55:02.566;28
2022-02-23 06:55:05.238;2
2022-02-23 06:55:05.301;27
2022-02-23 06:41:03.134;27
2022-02-23 06:55:08.801;24
2022-02-23 06:55:23.084;2
2022-02-23 06:45:01.466;2
2022-02-23 06:45:01.560;35
2022-02-23 06:45:01.560;35
2022-02-23 07:04:56.463;27
2022-02-23 07:05:12.980;2
2022-02-23 07:05:13.042;27
2022-02-23 07:05:33.700;2
2022-02-23 07:05:33.778;27
2022-02-23 07:05:40.232;0
2022-02-23 07:05:54.499;2
2022-02-23 07:05:54.561;27
2022-02-23 07:06:03.796;1
2022-02-23 07:06:28.486;1
2022-02-23 07:06:28.548;0
2022-02-23 07:07:07.270;1
2022-02-23 07:07:07.348;0
2022-02-23 07:07:33.944;1
2022-02-23 07:07:34.007;0
2022-02-23 07:08:23.589;6
2022-02-23 07:08:23.620;0
2022-02-23 07:09:27.204;2
2022-02-23 07:09:27.297;27
2022-02-23 07:09:36.798;2
2022-02-23 07:09:36.892;27
2022-02-23 07:09:47.049;2
2022-02-23 07:09:47.158;27
2022-02-23 07:10:17.442;2
2022-02-23 07:10:17.520;27
2022-02-23 07:10:29.974;2
2022-02-23 07:10:30.053;27
2022-02-23 07:06:33.814;2
2022-02-23 07:06:33.877;27
2022-02-23 07:06:46.034;2
2022-02-23 07:06:46.081;27
2022-02-23 07:06:57.129;2
2022-02-23 07:06:57.191;27
2022-02-23 07:07:01.551;24
2022-02-23 07:07:14.740;2
2022-02-23 07:07:14.802;27
2022-02-23 07:07:32.569;2
2022-02-23 07:07:32.632;27
2022-02-23 07:07:47.024;2
2022-02-23 07:07:47.086;27
2022-02-23 07:07:57.337;2
2022-02-23 07:07:57.384;27
2022-02-23 07:08:13.354;2
2022-02-23 07:08:13.416;27
2022-02-23 06:58:52.618;2
2022-02-23 06:58:52.681;27
2022-02-23 06:58:57.963;24
2022-02-23 06:55:23.177;27
2022-02-23 06:59:08.151;43
2022-02-23 06:59:15.667;2
2022-02-23 06:59:15.745;35
2022-02-23 06:59:15.745;35
2022-02-23 06:59:15.761;35
2022-02-23 06:59:15.761;35
2022-02-23 06:59:15.761;34
2022-02-23 06:21:11.128;43
2022-02-23 06:21:12.753;43
2022-02-23 06:21:12.847;43
2022-02-23 06:21:12.941;43
2022-02-23 06:26:07.762;2
2022-02-23 06:26:07.840;27
2022-02-23 06:26:09.934;24
2022-02-23 06:33:40.473;2
