DELIVERYTIME,NOOFLINES,STATUS,TOURNO,Country_EU
2022-02-21 00:00:00.000,11,30,HK05,
2022-02-21 00:00:00.000,1,30,IT05,
2022-02-21 00:00:00.000,128,30,IT05,
2022-02-21 00:00:00.000,1,30,IT05,
2022-02-21 00:00:00.000,4,30,ES05,
2022-02-21 00:00:00.000,8,30,ES05,
2022-02-21 00:00:00.000,0,30,ES05,
2022-02-21 00:00:00.000,106,30,IT05,
2022-02-21 00:00:00.000,148,30,IT05,
2022-02-21 00:00:00.000,55,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,9,30,ES05,
2022-02-21 00:00:00.000,11,30,ES05,
2022-02-21 00:00:00.000,11,30,ES05,
2022-02-21 00:00:00.000,3,30,ES05,
2022-02-21 00:00:00.000,17,30,ES05,
2022-02-21 00:00:00.000,22,30,ES05,
2022-02-21 00:00:00.000,3,30,ES05,
2022-02-21 00:00:00.000,4,30,ES05,
2022-02-21 00:00:00.000,54,30,ES05,
2022-02-21 00:00:00.000,5,30,ES05,
2022-02-21 00:00:00.000,1,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,4,30,FR05,
2022-02-21 00:00:00.000,119,30,AT05,
2022-02-21 00:00:00.000,5,30,BE05,
2022-02-21 00:00:00.000,32,30,SE01,
2022-02-21 00:00:00.000,102,30,ES05,
2022-02-21 00:00:00.000,169,30,ES05,
2022-02-21 00:00:00.000,68,30,ES05,
2022-02-21 00:00:00.000,44,30,ES05,
2022-02-21 00:00:00.000,3,30,FR05,
2022-02-21 00:00:00.000,187,30,FR05,
2022-02-21 00:00:00.000,2,30,IT05,
2022-02-21 00:00:00.000,3,30, ,
2022-02-21 00:00:00.000,4,30,EE05,
2022-02-21 00:00:00.000,7,30,DK05,
2022-02-21 00:00:00.000,3,30,CZ01,
2022-02-22 00:00:00.000,34,30,SK01,
2022-02-21 00:00:00.000,19,30,CZ01,
2022-02-21 00:00:00.000,2,30,AT05,
2022-02-21 00:00:00.000,4,30,FI05,
2022-02-21 00:00:00.000,27,30,CZ01,
2022-02-21 00:00:00.000,34,30,SK01,
2022-02-21 00:00:00.000,11,30,ES05,
2022-02-21 00:00:00.000,15,30,BE05,
2022-02-21 00:00:00.000,3,30,DE01,
2022-02-21 00:00:00.000,5,30,DE01,
2022-02-21 00:00:00.000,0,30,SE01,
2022-02-21 00:00:00.000,16,30,SE01,
2022-02-21 00:00:00.000,42,30,SK01,
2022-02-21 00:00:00.000,13,30,SK01,
2022-02-21 00:00:00.000,89,30,BE05,
2022-02-21 00:00:00.000,28,30,SE01,
2022-02-21 00:00:00.000,158,30,FR05,
2022-02-21 00:00:00.000,20,30,BE05,
2021-09-27 00:00:00.000,3,10, ,
2022-02-21 00:00:00.000,2,30,SE01,
2022-02-21 00:00:00.000,11,30,FI05,
2022-02-21 00:00:00.000,1,30,DK05,
2022-02-21 00:00:00.000,23,30,IT05,
2022-02-22 00:00:00.000,2,30,CH05,
2022-02-22 00:00:00.000,65,30,CH05,
